,X,Director,Category,Cast1,Cast2,Cast3,Duration,Rating
1,2,Mike Newell,Adventure | Family | Fantasy | Mystery,Daniel Radcliffe,Emma Watson,Rupert Grint,157 mins.,7.6
2,4,Christopher Nolan,Action | Adventure,Christian Bale,Michael Caine,Ken Watanabe,140 mins.,8.3
3,5,Joe Wright,Drama | Romance,Keira Knightley,Matthew Macfadyen,Brenda Blethyn,129 mins.,7.8
4,7,Peter Jackson,Action | Adventure | Drama | Romance,Naomi Watts,Jack Black,Adrien Brody,187 mins.,7.3
5,8,James McTeigue,Action | Drama | Thriller,Hugo Weaving,Natalie Portman,Rupert Graves,132 mins.,8.2
6,9,Frank Miller,Crime | Thriller,Robert Rodriguez,Mickey Rourke,Clive Owen,124 mins.,8.1
7,12,Ridley Scott,Action | Adventure | Drama | History | War,Orlando Bloom,Eva Green,Liam Neeson,144 mins.,7.2
8,13,Ang Lee,Drama | Romance,Jake Gyllenhaal,Heath Ledger,Michelle Williams,134 mins.,7.7
9,14,David Dobkin,Comedy | Romance,Owen Wilson,Vince Vaughn,Rachel McAdams,119 mins.,7
10,16,Judd Apatow,Comedy | Romance,Steve Carell,Catherine Keener,Paul Rudd,116 mins.,7.2
11,17,Joss Whedon,Action | Adventure | Sci-Fi | Thriller,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,119 mins.,8
12,18,Rian Johnson,Crime | Drama | Mystery | Thriller,Joseph Gordon-Levitt,Lukas Haas,Emilie de Ravin,110 mins.,7.4
13,19,Julian Jarrold,Comedy | Drama | Music,Chiwetel Ejiofor,Joel Edgerton,Sarah-Jane Potts,107 mins.,7
14,28,Neil Marshall,Adventure | Horror,Shauna Macdonald,Natalie Mendoza,Alex Reid,99 mins.,7.2
15,29,James Mangold,Biography | Drama | Music | Romance,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,136 mins.,7.9
16,34,Woody Allen,Drama | Romance | Thriller,Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,124 mins.,7.7
17,37,Lexi Alexander,Crime | Drama | Sport,Elijah Wood,Charlie Hunnam,Claire Forlani,109 mins.,7.5
18,38,Steven Spielberg,Drama | History | Thriller,Eric Bana,Daniel Craig,Marie-Josée Croze,164 mins.,7.6
19,39,Shane Black,Comedy | Crime | Mystery,Robert Downey Jr.,Val Kilmer,Michelle Monaghan,103 mins.,7.6
20,43,Ron Howard,Biography | Drama | Sport,Russell Crowe,Renée Zellweger,Craig Bierko,144 mins.,8
21,44,Lasse Hallström,Drama,Jennifer Lopez,Robert Redford,Morgan Freeman,108 mins.,7
22,49,Jim Jarmusch,Comedy | Drama | Mystery | Romance,Bill Murray,Jessica Lange,Sharon Stone,106 mins.,7.2
23,1,Mike Newell,Adventure | Family | Fantasy | Mystery,Daniel Radcliffe,Emma Watson,Rupert Grint,157 mins.,7.6
24,3,Christopher Nolan,Action | Adventure,Christian Bale,Michael Caine,Ken Watanabe,140 mins.,8.3
25,4,Joe Wright,Drama | Romance,Keira Knightley,Matthew Macfadyen,Brenda Blethyn,129 mins.,7.8
26,6,Peter Jackson,Action | Adventure | Drama | Romance,Naomi Watts,Jack Black,Adrien Brody,187 mins.,7.3
27,7,James McTeigue,Action | Drama | Thriller,Hugo Weaving,Natalie Portman,Rupert Graves,132 mins.,8.2
28,8,Frank Miller,Crime | Thriller,Robert Rodriguez,Mickey Rourke,Clive Owen,124 mins.,8.1
29,11,Ridley Scott,Action | Adventure | Drama | History | War,Orlando Bloom,Eva Green,Liam Neeson,144 mins.,7.2
30,12,Ang Lee,Drama | Romance,Jake Gyllenhaal,Heath Ledger,Michelle Williams,134 mins.,7.7
31,13,David Dobkin,Comedy | Romance,Owen Wilson,Vince Vaughn,Rachel McAdams,119 mins.,7
32,15,Judd Apatow,Comedy | Romance,Steve Carell,Catherine Keener,Paul Rudd,116 mins.,7.2
