"1","George Lucas","Action | Adventure | Fantasy | Sci-Fi","Hayden Christensen","Natalie Portman","Ewan McGregor","140 mins.","7.6"
"2","Mike Newell","Adventure | Family | Fantasy | Mystery","Daniel Radcliffe","Emma Watson","Rupert Grint","157 mins.","7.6"
"3","Tim Burton","Adventure | Comedy | Family | Fantasy","Johnny Depp","Freddie Highmore","David Kelly","115 mins.","6.7"
"4","Christopher Nolan","Action | Adventure","Christian Bale","Michael Caine","Ken Watanabe","140 mins.","8.3"
"5","Joe Wright","Drama | Romance","Keira Knightley","Matthew Macfadyen","Brenda Blethyn","129 mins.","7.8"
"6","Andrew Adamson","Adventure | Family | Fantasy","Tilda Swinton","Georgie Henley","William Moseley","143 mins.","6.9"
"7","Peter Jackson","Action | Adventure | Drama | Romance","Naomi Watts","Jack Black","Adrien Brody","187 mins.","7.3"
"8","James McTeigue","Action | Drama | Thriller","Hugo Weaving","Natalie Portman","Rupert Graves","132 mins.","8.2"
"9","Frank Miller","Crime | Thriller","Robert Rodriguez","Mickey Rourke","Clive Owen","124 mins.","8.1"
"10","Thomas Bezucha","Comedy | Drama | Romance","Dermot Mulroney","Sarah Jessica Parker","Claire Danes","103 mins.","6.3"
"11","Eric Darnell","Animation | Adventure | Comedy | Family","Tom McGrath","Chris Rock","Ben Stiller","86 mins.","6.9"
"12","Ridley Scott","Action | Adventure | Drama | History | War","Orlando Bloom","Eva Green","Liam Neeson","144 mins.","7.2"
"13","Ang Lee","Drama | Romance","Jake Gyllenhaal","Heath Ledger","Michelle Williams","134 mins.","7.7"
"14","David Dobkin","Comedy | Romance","Owen Wilson","Vince Vaughn","Rachel McAdams","119 mins.","7.0"
"15","Tim Story","Action | Adventure | Sci-Fi","Ioan Gruffudd","Michael Chiklis","Chris Evans","106 mins.","5.7"
"16","Judd Apatow","Comedy | Romance","Steve Carell","Catherine Keener","Paul Rudd","116 mins.","7.2"
"17","Joss Whedon","Action | Adventure | Sci-Fi | Thriller","Nathan Fillion","Gina Torres","Chiwetel Ejiofor","119 mins.","8.0"
"18","Rian Johnson","Crime | Drama | Mystery | Thriller","Joseph Gordon-Levitt","Lukas Haas","Emilie de Ravin","110 mins.","7.4"
"19","Julian Jarrold","Comedy | Drama | Music","Chiwetel Ejiofor","Joel Edgerton","Sarah-Jane Potts","107 mins.","7.0"
"20","Garth Jennings","Adventure | Comedy | Sci-Fi","Martin Freeman","Yasiin Bey","Sam Rockwell","109 mins.","6.8"
"21","Steven Spielberg","Adventure | Sci-Fi | Thriller","Tom Cruise","Dakota Fanning","Tim Robbins","116 mins.","6.5"
"22","Peter Segal","Comedy | Crime | Sport","Adam Sandler","Burt Reynolds","Chris Rock","113 mins.","6.4"
"23","Andy Tennant","Comedy | Romance","Will Smith","Eva Mendes","Kevin James","118 mins.","6.7"
"24","Doug Liman","Action | Comedy | Crime | Romance | Thriller","Brad Pitt","Angelina Jolie","Adam Brody","120 mins.","6.5"
"25","Francis Lawrence","Drama | Fantasy | Horror | Thriller","Keanu Reeves","Rachel Weisz","Djimon Hounsou","121 mins.","6.9"
"26","Michael Bay","Action | Adventure | Sci-Fi | Thriller","Scarlett Johansson","Ewan McGregor","Djimon Hounsou","136 mins.","6.9"
"27","Roger Kumble","Comedy | Romance","Ryan Reynolds","Amy Smart","Anna Faris","96 mins.","6.2"
"28","Neil Marshall","Adventure | Horror","Shauna Macdonald","Natalie Mendoza","Alex Reid","99 mins.","7.2"
"29","James Mangold","Biography | Drama | Music | Romance","Joaquin Phoenix","Reese Witherspoon","Ginnifer Goodwin","136 mins.","7.9"
"30","John Singleton","Action | Crime | Drama | Mystery | Thriller","Mark Wahlberg","Tyrese Gibson","Garrett Hedlund","109 mins.","6.9"
"31","Kirk Jones","Comedy | Family | Fantasy","Emma Thompson","Colin Firth","Angela Lansbury","97 mins.","6.6"
"32","Mike Mitchell","Adventure | Comedy | Family | Sci-Fi","Kurt Russell","Kelly Preston","Michael Angarano","100 mins.","6.2"
